code,name,info,nit,cost
33261-029,Prodder,Tripl gest-plac/sac NOS,0QUC47Z,939.44768
45802-032,Biodex,Flu dt avian w oth resp,06BQ3ZX,796.71217
23638-1111,Domainer,Mantle cell lym xtrrndl,0MN43ZZ,91.87011
64680-0001,Aerified,Contraceptive mangmt NEC,0F154Z9,467.94127
0363-0838,Flexidy,Onchocerciasis,06U33KZ,15.34104
10631-110,Stringtough,Pneumococcal meningitis,021X0ZB,307.50377
0023-9163,Konklab,Bilateral small kidneys,0W0F0JZ,569.70411
60055-647,Alphazap,Delusional disorder,0FH042Z,216.52258
50242-073,Cardguard,Cortex contus-mod coma,04RF0KZ,966.55695
68345-862,Pannier,Intestinal fixation anom,09NL0ZZ,884.2858
53208-531,Bitwolf,Mucocutan lymph node syn,0BL27DZ,896.97713
41190-175,Bitwolf,Food pois d/t c. perfrin,0QPDX5Z,491.20043
76049-002,Tampflex,Reading disorder NEC,06VB3CZ,875.41323
47593-114,Voyatouch,Diabetic cataract,3E053HZ,377.10375
42571-122,Domainer,Sqm cel skn face NEC/NOS,0UF67ZZ,890.09674
49643-414,Treeflex,Acc poisn-cns depres NEC,037C4E6,791.5711
12634-179,Span,Venomous arthropods NEC,041E0AG,800.39741
42291-160,Prodder,Idio periph neurpthy NOS,0PQC3ZZ,105.31603
10337-332,Otcom,Open-angle glaucoma NOS,DB21DZZ,452.6326
36800-958,Tres-Zap,Spon labr w plan C/S-del,0Y9J4ZZ,437.20736
35356-744,Bitchip,Adv eff topic dental drg,04LH0DZ,774.59826
11523-0887,Tresom,Hypermobility syndrome,0DC93ZZ,171.60091
51531-5395,Daltfresh,Adjustment hearing aid,F01H0UZ,184.03292
24385-145,Lotstring,Primary CNS lymph multip,0DL94ZZ,977.42378
48951-8254,Job,Uncer neo endocrine NEC,D7072ZZ,104.97933
48951-4018,Mat Lam Tam,Congen mitral stenosis,06744ZZ,225.097
0268-1225,Cookley,War inj:explosion NEC,0QRL0JZ,417.22607
66472-040,Pannier,Cl sk w oth fx/cereb lac,0RPX48Z,287.81385
54868-6286,Subin,Cl skl vlt fx-concus NOS,0FQ64ZZ,982.56601
55154-0736,Trippledex,Communic dis contact NEC,0YUK07Z,941.22894
54868-4899,Fixflex,Splenic artery aneurysm,DB055ZZ,870.67927
59779-115,Redhold,TB bronchiect-histo dx,3E0G829,585.68561
51532-5104,Bigtax,Hyperkinetic conduct dis,0K5B4ZZ,288.59611
64117-160,Cookley,Ftl cmp in utro-del-p/p,10Q08ZH,641.777
42291-169,Alpha,Descending colon inj-opn,0X083JZ,429.01969
0904-1985,Zaam-Dox,Opn skl base fx-coma NOS,0KXJ0Z2,772.98575
53208-500,Job,Secondary malig neo lung,3E063WK,82.35584
54868-1613,Redhold,Tibialis tendinitis,0R9X00Z,298.48664
58177-679,Namfix,Congen abn uterus-deliv,03730E6,847.90314
52389-172,Konklux,Tongue anomaly NEC,05CC3ZZ,22.88312
37205-940,Sub-Ex,Chr osteomyelit-shlder,09DP3ZZ,148.82261
42715-002,Cardify,Schizophr dis resid NOS,0JQ,300.19668
49852-016,Greenlam,Poison-corrosiv/caustic,DVY18ZZ,438.11943
36800-690,Zoolab,Deep 3rd deg burn scalp,041L0KK,968.62483
63629-4093,Stringtough,Social conduct dis-mod,0BW18CZ,492.04492
0268-6719,Holdlamis,Local salmonella inf NOS,05H643Z,77.13555
76420-750,Namfix,Hx of schizophrenia,047E466,325.0683
23155-160,Job,Hx of GI malignancy NOS,0XQCXZZ,678.05857
64942-0782,Otcom,Abn react-renal dialysis,0P574ZZ,377.64742
53329-671,Matsoft,Diaphragmatic hernia,D82,657.9047
68382-130,Subin,Sezary's disease thorax,027R3ZZ,833.6514
52125-780,Zontrax,Impaction intestine NEC,047S3FZ,359.01198
0135-0057,Keylex,Open wound of leg NEC,0JRP07Z,345.10848
53499-0190,Sonair,Phthisical cornea,DDY8FZZ,822.51205
59667-0027,Cardguard,Creutzfldt-Jakob NEC/NOS,08R6XKZ,890.11679
0904-6315,Treeflex,Degen ciliary body,0QR947Z,448.34735
54868-6100,Kanlam,Mal neo upper 3rd esoph,07U10JZ,227.0746
52763-501,Cardguard,Chr membranous nephritis,0B944ZX,898.63728
13537-494,Lotlux,Bancroftian filariasis,0D164ZL,535.33606
37000-733,Y-find,Motion sickness,0371046,548.68133
0555-0606,Matsoft,Mal neo cerebellum NOS,0DWD02Z,410.39185
55312-110,Rank,TB lung infiltr-cult dx,03VM4CZ,432.76327
23155-038,Viva,Enthesopathy of knee NEC,067P4DZ,392.84426
52125-564,Ronstring,Nonsp abn fd-skull/head,3C1,185.78958
0093-0029,Zoolab,Ankylosis malleus,0P8F4ZZ,955.97272
0093-7258,Flexidy,Amniotic infect-antepart,037V45Z,692.68988
51079-820,Cardify,Pellagra,0UTM0ZZ,231.16736
65044-1946,Aerified,Pyogen arthritis NEC,0D798DZ,320.61027
24909-201,Domainer,Exotropia NOS,F00Z8YZ,644.30514
63629-4417,Cardguard,Spinal muscl atrophy NOS,F14Z5ZZ,294.0522
57520-0171,Flowdesk,Dsct of thoracic aorta,0NN13ZZ,595.67722
60681-6300,Tres-Zap,Obj w-w/o sub fall NEC,0YJC0ZZ,640.00033
0781-3122,Stringtough,Ac syst/diastol hrt fail,03150KD,40.73788
53808-0918,Kanlam,Resp cond dt smoke inhal,0U9M00Z,514.88433
36987-3034,Viva,Screen-blood dis NEC,00XM0ZK,603.03063
0378-5208,Cardify,Crnitne def d/t nb met,03BA4ZZ,318.82393
41163-146,Lotstring,Poxvirus infections NEC,02B80ZZ,237.89514
43547-266,Gembucket,Open wound trachea-compl,0W1G4JY,746.57332
0169-6338,Pannier,Congenital pneumonia,0LQJ4ZZ,935.45093
36987-1776,Matsoft,Snow veh acc-motorcycl,0RWFX4Z,190.99022
0049-0013,Tempsoft,Martial arts,0PP74JZ,992.39573
41520-211,Alpha,Post cornea dystrphy NEC,0QBF4ZZ,699.44733
60681-1224,Lotlux,Acc poison-plants NEC,05740DZ,692.17894
54838-558,It,Part androgen insnsitvty,0KCS0ZZ,741.14546
52125-320,Fintone,Abscess of liver,B54BZZ3,502.18837
49981-008,Transcof,Bilat clft palat/lip-com,0BP08KZ,836.27179
44911-0034,Flowdesk,Traffic acc NOS-driver,055B4ZZ,488.71718
44911-0056,Keylex,Periph focal retinitis,0HBW8ZX,16.38789
37205-337,Tresom,2nd deg burn scapula,0C9S4ZZ,955.12435
0378-6165,Matsoft,Essntial thrombocythemia,0DP000Z,375.56577
49999-103,Cardify,Pruritus of genitalia,0RGT4ZZ,378.0057
37205-733,Regrant,Malign neopl prepuce,009U40Z,164.08106
76254-3001,Alphazap,Amphetamin depend-contin,0CC83ZZ,777.1766
53499-7272,Temp,Cns TB NOS-exam unkn,B31SYZZ,264.10703
11056-010,Stronghold,Ocl vrtb art w infrct,02C43ZZ,977.50306
52584-903,Bytecard,Poison-medicinal agt NEC,06BJ4ZZ,121.36095
0039-0018,Temp,Hem nephrosonephritis,0DCP8ZZ,503.16161
0781-5939,Rank,War inj:gasoline bomb,02VS3ZZ,915.13035
54868-5607,It,Screen-cystic fibrosis,09WY40Z,297.93961
24236-837,Konklab,Open wound ear NEC-compl,0CLC4ZZ,651.412
0268-0932,Tampflex,Pois-mercurial diuretics,03773FZ,113.72777
67457-163,Trippledex,St Louis encephalitis,0VPR07Z,268.1228
52125-529,Flexidy,Toxic optic neuropathy,0RSE0ZZ,865.27789
33992-4951,Biodex,Op skl vlt fx-concus NOS,0WP04KZ,678.33838
10544-111,Opela,Adv eff blood agent NEC,09UK0JZ,913.03415
54868-6274,Cookley,Postinf encephalitis NEC,0QR337Z,169.78631
63629-3995,Duobam,Jt derangement NOS-hand,B30MYZZ,345.346
41520-192,Zontrax,Cauliflower ear,0XUV07Z,657.86945
68788-9691,Transcof,Mal neo retroperitoneum,03150KD,15.32505
60760-983,Alphazap,TB of organ NEC-oth test,BV06YZZ,703.53651
55315-185,Lotlux,Orthopoxvirus infect NEC,0RN9XZZ,931.02333
21130-148,Cardify,Cracked tooth,0HTU0ZZ,802.76865
0113-0067,Zontrax,Postconcussion syndrome,BR1HZZZ,946.60877
54868-5348,Home Ing,TB fem gen NEC-micro dx,0XB70ZZ,275.01861
52685-364,Bigtax,Ac osteomyelitis-pelvis,B51G0ZA,698.26886
47335-902,Keylex,Late eff of self-injury,0BB50ZZ,424.188
52183-379,Temp,Thyroiditis NOS,0W4M0K0,120.68767
0002-4455,Viva,Secondary pneumon plague,0DL60CZ,85.7101
68382-081,Stim,Idio pulm hemosiderosis,F0786HZ,853.37842
13537-066,Tres-Zap,Inf spasm w intract epil,07U807Z,501.80229
63940-516,Bytecard,Ac systolic hrt failure,BW2400Z,864.15773
0456-2614,Treeflex,Part epil w intr epil,0KBV0ZZ,114.47388
68400-305,Duobam,Cupping of optic disc,021X4KQ,465.32226
68151-1463,It,2nd deg burn upper arm,0RGP35Z,44.42401
43419-545,Stronghold,Fall from snowboard,04VT4ZZ,398.01049
36987-3006,Zontrax,Behcet arthritis-mult,00PU03Z,854.23361
0363-0209,Subin,Hallucinogen dep-unspec,0BF68ZZ,312.63262
0378-6203,Alpha,Fail mod sedate dur proc,0X934ZX,492.83686
41163-227,Biodex,Poisoning-antipruritics,0BCF7ZZ,500.30897
57955-5283,Flexidy,Lt ef-mplga uplmb nondom,0RP134Z,48.41696
50436-5605,Daltfresh,Compl labor NOS-antepart,05RL4JZ,809.86926
68788-9690,Trippledex,Schilder's disease,04LT3ZZ,752.50095
0703-2823,Zaam-Dox,Benign neoplasm orbit,09PK80Z,261.22569
43074-112,Sonair,Clubbing of fingers,0B9940Z,502.15256
50383-241,Temp,Damage pelvic jt-postpar,CW1JLZZ,454.72724
45802-053,Duobam,Crbl emblsm w infrct,0JRF37Z,540.6312
0067-6066,Bitwolf,Aortic valve disorder,0WPLX3Z,12.1172
0228-2636,Cardify,Scleromalacia perforans,0WP1X3Z,723.8502
10742-8456,Job,Foreign body head-infect,037P05Z,479.98563
62175-152,Subin,Old disrupt ant cruciate,07CL3ZZ,486.04024
0904-1988,Vagram,Heterotropia NOS,099F30Z,831.7201
0228-4024,Voyatouch,Cns dysfunction syn NB,0CRB0JZ,644.45892
63691-018,Veribet,Dvrtclo colon w/o hmrhg,0S500ZZ,146.94991
49349-562,Veribet,Excess attrition-local,0RPE0JZ,339.86733
53808-0775,Y-Solowarm,Accidnt-mech firearm/gun,0X020ZZ,122.65914
49884-402,Zontrax,War injury:biol warfare,0BCC3ZZ,121.13976
0591-0583,Ronstring,Fail induction NOS-unsp,0RWFXKZ,842.06182
36987-1185,Alpha,Kaschin-beck dis-pelvis,0MN54ZZ,135.97953
49035-928,Fix San,Abo incompat/delay HTR,0PP534Z,158.70088
59762-6712,Tres-Zap,TB of bladder-exam unkn,0SW003Z,338.96677
13630-0048,Daltfresh,Inj infer mesenteric art,0WH841Z,68.17983
67938-2026,Domainer,Hodg nodul sclero axilla,0TN14ZZ,263.19284
60429-770,Biodex,Multi gest NOS-antepart,009U4ZX,320.59756
0264-7655,Aerified,Panic dis w/o agorphobia,DT014ZZ,854.4973
60429-578,It,Malign neopl leg,0RPT48Z,773.94572
35356-211,Quo Lux,Drug depend NEC-episodic,10P,854.83977
52584-402,Sonsing,Pinta primary lesions,047K4FZ,882.55628
42937-704,It,Aspergillosis,04L20DZ,989.23705
0904-5996,Sub-Ex,Chemical burn periocular,4A09X5Z,542.99786
49349-077,Flowdesk,Routine circumcision,0CC83ZZ,697.90714
55312-459,Cardguard,Mal neo soft tis thorax,0W1G4JB,859.83649
42507-458,Bigtax,Cereb degen in child NEC,0D9F7ZX,90.25593
42891-4148,Voltsillam,Burkitt's tumor inguin,06HC3DZ,35.70982
61010-5000,Latlux,Immunity deficiency NOS,0V1N4JN,874.31176
49035-183,Subin,Abdmnal pain periumbilic,04NW0ZZ,864.74814
21130-010,Tampflex,Cervical incompet-deliv,0PHH05Z,575.39968
99207-276,Andalax,Cl skl vlt fx-concus NOS,0K9B0ZZ,648.17312
61601-1144,Bigtax,Aseptic necrosis femur,05BA4ZZ,333.43317
55910-199,Viva,Cl skl w oth fx-mod coma,037F4G6,529.6929
43419-357,Zathin,Rh isoimmunization-unsp,30253M0,815.7111
0143-1475,Treeflex,Anemia d/t antineo chemo,0UBM0ZX,491.44699
33342-054,Cookley,1st deg burn arm-mult,047Y3EZ,747.2489
55289-039,Holdlamis,Flncy dsord cond elsewhr,0T577ZZ,821.5694
0904-0644,Quo Lux,Spon abort w shock-inc,02134K3,163.22763
23155-128,Zontrax,Chr erythrmia in relapse,0K9H0ZX,880.02582
51672-5203,Flexidy,Orofacial dyskinesia,0RSUX5Z,369.8659
21695-762,Temp,Brucella canis,0RJW4ZZ,723.88476
51815-217,Y-find,Acc poisn psychotrop NEC,03RB47Z,592.52146
48951-8176,Tempsoft,Rubeosis iridis,0D1H8JK,85.99813
61786-036,Tampflex,70-79% bdy brn/70-79% 3d,0KPXX0Z,207.81222
0087-2773,Fixflex,Edema in preg-postpartum,041K4KM,308.67534
55312-546,Job,Genetic carrier stat NEC,0QHG04Z,214.33216
0179-1470,Cookley,Retain prod concept-unsp,0SPK00Z,356.68363
41167-0470,Fixflex,Intrinsic asthma NOS,02WYX2Z,183.52823
60429-503,Flexidy,Contusion of thigh,0DUL7JZ,263.99824
0268-1232,Cookley,Acq nasolacrml stenosis,0P864ZZ,998.9971
60681-2112,Span,Screen-bact conjunctivit,0SPC30Z,98.10002
0440-7026,Zathin,Heart chamber lacer-opn,BR041ZZ,285.71512
53489-281,Bamity,Uterus injury-closed,05HQ03Z,767.33854
59535-9301,Bitwolf,Opn wnd tongue/mouth flr,0BWT3KZ,915.31042
33261-647,Greenlam,Sec DM wo cmp nt st uncn,0B9S00Z,282.45646
0268-0913,Pannier,Cl skul base fx-coma NOS,02PA0NZ,861.94768
55910-994,Stim,Bact pleur/effus not TB,05Q50ZZ,590.77245
42549-640,Bigtax,Placenta prev hem-unspec,0L9S3ZZ,288.56373
24385-619,Mat Lam Tam,Alveolar maxil hyprplsia,0DUK0KZ,279.32899
54569-3912,Y-find,Malig neo corpus uteri,0FCF8ZZ,771.90629
55648-964,Bamity,Oth spcf paralytic synd,04100ZJ,427.06765
59779-261,Voltsillam,Toxic effect cyanides,0KBW3ZZ,88.8007
55154-9401,Span,Opn subdur hem-mod coma,0FPBXDZ,571.36795
15828-320,Otcom,Personl hx nephrotic syn,0DUS07Z,907.13756
63629-1784,Konklux,Allerg alveol/pneum NOS,0RPL44Z,478.06243
65862-456,Sonsing,Del w 3 deg lac-postpart,0HWSXJZ,448.6604
60429-125,Ronstring,Varic vein leg-antepart,0QQNXZZ,868.4374
52125-346,Cookley,Gouty nephropathy NEC,0QW9XKZ,648.89037
70253-329,Fix San,Constipation NEC,0PUC3JZ,545.90816
49696-632,Flexidy,Volunteer activity,0FPB7JZ,591.94086
61722-089,Daltfresh,Pulmon TB NEC-micro dx,0R9Q0ZZ,593.59176
0338-0695,Cardguard,Striae atrophicae,05BP0ZZ,908.33387
49999-142,Trippledex,Congenital cataract NOS,02BG3ZZ,623.1581
17089-290,Fintone,Hodgkins dis NOS spleen,0RR30KZ,611.87194
65044-3075,Y-find,Recur dislocat-hand,D9030ZZ,194.30229
65862-158,Gembucket,Foreign body granul-skin,07TM4ZZ,284.67639
17478-205,Tresom,Chr marg ulc hem/perf-ob,0PRH47Z,824.91414
67457-259,Zathin,Open wound finger-compl,0YUB0JZ,428.90818
14783-606,Ventosanzap,Mult brth NOS-before adm,03U70JZ,696.77044
17478-253,Daltfresh,Chromoblastomycosis,2W02X6Z,478.25314
54575-946,Bytecard,Adjust dis w anxiety/dep,037T0DZ,288.45075
50493-0001,Bitwolf,Roseola infantum NOS,0CNG0ZZ,487.93415
75921-515,Vagram,Dual sensory impairment,0VTB0ZZ,220.94738
50236-001,Bytecard,Myoglobinuria,0D1K4ZM,9.8589
43598-220,Flowdesk,Sec DM circ uncontrld,037C07Z,944.43337
67253-234,Zathin,Fracture treatmnt conval,0W900ZZ,325.42984
59779-328,Konklux,Mantle cell lymph multip,02550ZZ,525.91222
48951-3118,Prodder,Joint effusion-shlder,02HW40Z,648.88229
55910-384,Ventosanzap,Immunotherapy encounter,0Y9530Z,135.70548
55648-734,Biodex,Postoperative air leak,09QKXZZ,425.41595
64679-662,Zamit,Hair disease NOS,0VWD3KZ,239.85294
76329-3012,Biodex,Twin NOS-nonhosp,0R9S4ZZ,411.00986
43269-739,Sonsing,Brachial plexus lesions,02HK4JZ,812.17174
59088-746,Lotstring,Contusion genital organs,0JB43ZX,676.73044
51079-759,Rank,Corneal anesthesia,0SSPX5Z,46.16247
68308-326,Bytecard,"Amput below elb, unilat",0B928ZZ,693.47964
11673-660,Transcof,General paresis,XR2G021,297.98431
66663-103,Bytecard,Second malig neo adrenal,0TB04ZX,902.9287
48951-3088,Asoka,Ac sanguin otitis media,DG013Z0,585.7086
64725-0513,Hatity,Dentofacial anomaly NEC,0M9,447.30205
67510-0005,Daltfresh,Inversion of uterus-unsp,BN250ZZ,982.74425
54868-2541,Viva,Referral-no exam/treat,04S43ZZ,286.75214
0067-6282,Zontrax,Instantaneous death,01NG0ZZ,186.17744
0268-1148,Flowdesk,Abscess of prostate,0HHX7NZ,493.15854
63402-711,Namfix,Chr marginal ulcer NOS,7W00X4Z,483.41807
68151-2875,Zoolab,Ac maxillary sinusitis,0RHH04Z,534.72569
68180-302,Kanlam,Op skl vlt fx-concus NOS,0S520ZZ,769.73769
13734-033,Holdlamis,Acc poison-sedatives NOS,0D1A474,935.61226
48951-4022,Ronstring,Mlg hist unsp xtrndl org,0RHN03Z,141.1582
55289-255,Tin,Long-term use anticoagul,0B5K3ZZ,689.36699
31722-708,Stim,Pelvic deform NOS-unspec,06L60ZZ,269.59742
63824-711,Keylex,Pure hyperglyceridemia,0QPM0JZ,91.98928
36987-3286,Transcof,TB of knee-no exam,0VU347Z,636.19247
0591-3292,Sub-Ex,Hx-nutrition deficiency,0LUC4JZ,897.6369
63347-400,Overhold,Disloc mlt cerv vert-opn,0DJD8ZZ,913.77132
41250-734,Duobam,Mal neo bronch/lung NOS,BW0MZZZ,169.6569
41520-163,Keylex,Bullous retinoschisis,06B13ZZ,978.83662
55319-331,Y-Solowarm,Abnormal vep,0QWKXKZ,20.90652
61919-003,Aerified,Mild nonprolf db retnoph,039A40Z,463.64054
49999-540,Matsoft,Opn skul/oth fx w/o coma,0BP132Z,700.23236
48964-112,Fix San,Nonparalyt polio-type 1,0Y6P0Z2,112.8146
43269-642,Fixflex,Bipolar disorder NOS,04V24CZ,952.30309
68306-105,Flowdesk,Uterus injury-closed,047R3GZ,603.7192
49349-584,Bigtax,Transient mental dis NEC,0WW8X3Z,706.65478
0409-7992,Sub-Ex,Hemarthrosis-l/leg,05HF43Z,960.47562
21695-153,Lotlux,Cor triatriatum,0RW444Z,368.20323
50021-306,Voltsillam,RR acc w explos-ped cycl,08TX7ZZ,19.11542
44183-507,Cardguard,Acc poisoning-lead,0WHL33Z,531.68728
65862-076,Mat Lam Tam,Backgrnd retinopathy NOS,0QCQ4ZZ,776.49673
59535-8501,Stim,Adv eff intraven anesth,0RG43J0,998.45215
0615-2578,Wrapsafe,Anesth compl NOS-del p/p,00BY0ZZ,23.64782
11822-0326,Hatity,Enceph/encephmye oth dis,0BBG8ZZ,41.49415
68788-9545,Namfix,Pap smear vag w ASC-US,00XL4ZL,934.30218
54569-4467,Greenlam,Pois-vaccine/biolog NEC,0S5,881.53428
23731-6051,Keylex,Sigmoid colon inj-open,0RPR4JZ,72.73935
10019-178,Andalax,Fx radius neck-open,041H09P,379.60292
36987-1802,Cookley,Changes in skin texture,0LXN0ZZ,795.84468
43251-3363,Stringtough,Ben neo bones ankle/foot,0NQF0ZZ,828.51653
64117-988,Tempsoft,Extradur hem-proln coma,0XM70ZZ,12.39094
55154-4731,Andalax,Arthropathy NEC-pelvis,B311Y10,951.62383
61727-319,Alpha,Ab NOS w embolism-inc,06L73DZ,946.72568
0944-4175,Alpha,Malposition NOS-deliver,BP2G0ZZ,104.84626
68258-7067,Flowdesk,Mv coll w pedes-pers NOS,07WN3DZ,707.08021
0363-1650,Viva,Late sympt syphilis NEC,3E0N80M,109.07973
76472-1150,Keylex,C1-c4 fx-op/ant cord syn,B53DZZZ,562.83735
51452-010,Zaam-Dox,Oth spcf dsdr urnry trct,0PCC4ZZ,656.73512
0268-6149,Bigtax,Selective iga immunodef,F07K6FZ,392.16366
65517-2002,Zontrax,Alveolar mandb hypoplsia,DP025ZZ,178.50354
61919-103,Cardify,Unpow aircrf acc-gr crew,0QPP05Z,461.39288
33992-3011,Flexidy,Mech com pros jt implant,03LV0ZZ,108.16197
54569-1270,Biodex,Laryngeal web,009300Z,556.03955
42254-227,Duobam,Wtrcrft acc NEC-pers NEC,0JHD3XZ,566.22257
61957-1042,Bitchip,Artificial vagina status,F0CZ1SZ,700.42031
0002-4462,Kanlam,Corneal foreign body,0DB37ZZ,524.07691
0904-5591,Zontrax,Mental dis preg-unspec,0RGR47Z,328.01131
64745-001,Zontrax,"Pressure ulcer, hip",0B9L0ZX,938.72426
24571-111,Transcof,Sbac mono leuk w rmsion,0B7B8DZ,920.06502
53187-242,Trippledex,Pediculus capitis,0BPK83Z,969.37805
49288-0791,Subin,Ac on chr diast hrt fail,0LRJ07Z,732.54194
21749-095,Asoka,Brain lac NEC w open wnd,0VW880Z,262.93487
0132-0704,Kanlam,Acc pois-chlorine pestic,HZ49ZZZ,803.0227
53270-3300,Zoolab,Elderly multigravida-del,0YHD03Z,667.3365
53489-678,Job,Deliver-single liveborn,031J0ZG,430.6705
52685-424,Alphazap,Burkitt's tumor thorax,05LQ3ZZ,379.9689
49967-859,Duobam,Cystitis in oth dis,0Q8M4ZZ,322.4736
61957-0116,Sub-Ex,Circadian rhym-free run,0W9K4ZZ,292.59301
15127-822,Bytecard,Vaginismus,0C5R4ZZ,992.1089
50436-0913,Aerified,Poisoning-alkalizing agt,0TB70ZX,152.44602
10742-1233,Zaam-Dox,Cocaine depend-episodic,30253G1,721.10755
47593-360,Fixflex,Mal neo breast up-outer,7W08X1Z,72.34071
52389-169,Tampflex,Vocal cord paralysis NOS,0270356,306.70521
0378-2625,Otcom,Joint sympt NEC-forearm,037M3F6,103.28051
55154-5717,Job,Precipitate labor-unspec,0MBS0ZX,572.3064
51615-001,Andalax,Heredit hemochromatosis,0K9J4ZX,302.44158
64205-087,Holdlamis,Acoustic trauma,0GTM0ZZ,560.62628
50436-9101,Rank,Thyrotox-ect nod no cris,2W5FX2Z,21.38479
49738-388,Bitwolf,Genu varum,06HC0DZ,659.65003
55154-6280,Sub-Ex,Cl skul base fx/brf coma,0SRW07Z,675.98994
10742-8564,Quo Lux,TB periph lymph-no exam,0NB60ZX,887.72597
0074-7148,Opela,Vasc lesion cord-unspec,0SSQX4Z,411.63549
68703-028,Bitchip,Unilat ing hernia w gang,01UG07Z,65.91768
0603-3078,Gembucket,Acc-cutting instrum NEC,047V3Z6,733.46872
0378-9680,Stringtough,Benign neo esophagus,0RGA07J,617.06377
51393-7533,Rank,Peritoneum injury-open,0QWQ34Z,890.56849
63868-953,Veribet,Mal neo small bowel NOS,0RWS38Z,100.67978
68987-011,Home Ing,Bone disorder-antepartum,0CRXXJ1,908.7143
37205-034,Zamit,Cortical/zonular catarac,0KBP4ZX,286.60254
44924-008,Aerified,Oth VD chlm trch pharynx,0P960ZX,848.70897
65757-301,Asoka,Opn skul/oth fx w/o coma,0DPD43Z,889.91307
43269-876,Holdlamis,Injury-caustic substance,0PWT3KZ,912.02336
0172-6359,Regrant,Acc poison-pesticide NEC,01S80ZZ,420.39362
43857-0029,Prodder,Injury-NOS,0DL98ZZ,313.83952
21695-900,Ronstring,Ac diastolic hrt failure,8E0UXY7,588.27267
50383-268,Overhold,Simpl chr conjunctivitis,0RH634Z,926.96939
50076-301,Bitchip,"Actv Meniere,cochlvestib",0PQS0ZZ,642.2804
0135-0474,Sonair,Jt contracture-jt NEC,0WPM31Z,769.07487
68788-9952,Asoka,Cornea degeneration NEC,6A750Z7,965.54573
0378-4520,Sub-Ex,Loss control mv-pedest,0KB93ZX,235.34474
0068-0011,Lotstring,Groom/shearing animal,0J2WXYZ,401.87053
43353-290,Sonsing,Hx of ovarian malignancy,02HK4MZ,546.31604
10812-128,Alpha,Lymphogranuloma venereum,0XJ23ZZ,844.66017
65044-2214,Cardguard,Lung laceration-open,00B23ZZ,411.88102
49643-359,Pannier,Malign neopl thorax,0T9C3ZZ,487.58662
11523-4322,Domainer,Cicatricial entropion,0P500ZZ,103.77217
62891-123,Domainer,Prim lateral sclerosis,0373456,261.83943
36987-1282,Otcom,Lt eff inj thor/abd vess,0YUN07Z,739.09398
17856-4091,Subin,Preg w hx-trophoblas dis,0SWQ4JZ,209.76748
54024-000,Flowdesk,Recurrnt sleep paralysis,0WWB3YZ,347.39654
43419-324,Tres-Zap,Oth coll stnd obj-rider,04L54CZ,575.40064
13733-019,Wrapsafe,Ped pre-brth vst-parent,041C0J7,108.21825
55154-2678,Regrant,Omphalitis of newborn,03140Z5,7.4586
54118-7990,Lotlux,Interstitial emphysema,0FT50ZZ,120.00652
35356-272,Cookley,Mal neo male breast NEC,0NUP37Z,750.87798
